case,abdb_read_mean,abdb_read_std,abdb_write_mean,abdb_write_std,redis_read_mean,redis_read_std,redis_write_mean,redis_write_std
bad_redis_scenario_stdev_8.962886439832502.csv,1.9294983468457614,2.215800517665253,2.5040808910536536,2.1854445482464766,6.726267709909273,1.7060352548699622,6.727326395712321,1.755972183979695
good_redis_scenario_stdev_2.309401076758503.csv,4.655368574075597,3.689425222526697,5.22403187209356,3.6142064210863403,4.734335707636022,3.592088182355739,4.744561569454697,3.579028134153341
bad_redis_scenario_stdev_3.0550504633038935.csv,3.4805184363648047,2.8382298765725715,4.038995079071148,2.7395458478270616,5.985021213472009,2.9881650335780505,5.98645656404111,2.9956653338397423
good_redis_scenario_stdev_3.2145502536643185.csv,4.909118876770756,4.263926031444489,5.4821120014020694,4.390897115104311,4.445402219964027,3.7001355004212173,4.455065938557122,3.737722177128715
bad_redis_scenario_stdev_3.2145502536643185.csv,3.4602176014726966,2.5893655512712166,4.0682615395136015,2.7094529659311073,6.408962074962478,2.6566284802575155,6.4220886145484934,2.6714746767993374
good_redis_scenario_stdev_4.509249752822894.csv,4.387583628427554,3.9529500992703204,4.898825394916641,3.760641226930994,3.69058417923771,3.691450558069891,3.689833595494847,3.6713390739361773
bad_redis_scenario_stdev_4.725815626252608.csv,3.14937865750832,2.854555444818451,3.7281366230781074,2.741841987747388,6.201336711555684,2.489939775742147,6.212421065053058,2.48804081643752
good_redis_scenario_stdev_4.932882862316247.csv,4.606913611363953,3.8053824365811377,5.184637272341116,3.8233404801137487,4.137789346908189,3.867383276613744,4.114339284752701,3.7880212848271686
bad_redis_scenario_stdev_4.163331998932266.csv,3.236620579488044,2.522175827002256,3.8173178332024906,2.519440032632619,6.697039249868166,2.206129365920151,6.700182476310459,2.195251493372903
bad_redis_scenario_stdev_6.6583281184793925.csv,2.561824205894467,2.383537151878544,3.1029664572506426,2.340839934046864,6.924979210902943,1.6807009602213576,7.01299312876229,2.4305413168312406
good_redis_scenario_stdev_9.814954576223638.csv,2.2978465716523093,3.7070166542050558,2.8901576342355937,3.727885024924713,1.0316131091414569,2.1547198582458247,1.0430951746877704,2.1564162920362713
good_redis_scenario_stdev_4.163331998932266.csv,4.608520661219768,3.836017169574066,5.165899074707851,3.771327832719077,4.123790880708069,3.7916239055706558,4.095273648505341,3.730981230470937
good_redis_scenario_stdev_6.429100507328637.csv,3.479864000858561,3.627470221860846,4.06497155097922,3.7180591726815124,2.5613520035103217,3.368929348851439,2.5846798280722303,3.4180607628667583
bad_redis_scenario_stdev_5.131601439446884.csv,2.924078012938859,2.5418654212864396,3.4525340991566873,2.4776562241226205,7.036779102000872,1.7182968236091534,7.038796145235693,1.681170920712213
bad_redis_scenario_stdev_6.429100507328637.csv,2.594085097552917,3.1050155630595433,3.2418229485614187,2.9932225682261127,6.464517267282605,2.12977465329145,6.454875416637135,2.0646099519813603
good_redis_scenario_stdev_8.144527815247077.csv,3.3838801615620135,3.983639177890469,3.9509400201599747,4.058343784849062,1.8249578247473002,2.9633523574131666,1.8405134222831687,2.977691291306539
bad_redis_scenario_stdev_7.371114795831994.csv,2.556214988517383,2.647590991960057,3.1047958783183662,2.716422171243719,6.910304849265981,1.7767797503315876,6.887486965379054,1.5822815799570493
good_redis_scenario_stdev_5.131601439446884.csv,4.367607668570243,3.837488235687663,4.9064814912969705,3.768668603215474,3.75192165313548,3.7620514590729544,3.7592262339927585,3.7534163505606104
bad_redis_scenario_stdev_2.0816659994661326.csv,3.9875090090482845,3.2508936340439654,4.532610858221757,3.093262458164444,5.57033326914748,3.0888324290309987,5.564566164782069,3.059019193074192
bad_redis_scenario_stdev_4.509249752822894.csv,3.213944072427958,3.0264179126026534,3.7829037027137224,2.973518465480057,6.646660851186401,2.19697501740347,6.665114280090089,2.2115876520695066
bad_redis_scenario_stdev_7.234178138070234.csv,2.7554999164572878,3.0822068775344,3.3326426796186275,3.2650532467601967,6.4878381944833405,2.1667146707634,6.514072683285884,2.163955052588562
bad_redis_scenario_stdev_1.5275252316519465.csv,4.3235156792604705,2.996794517291182,4.9380212803230235,3.148731903489138,5.66903736753159,3.1135755094418,5.679725088629743,3.117182827935608
bad_redis_scenario_stdev_6.027713773341708.csv,2.8866921734046516,3.281885621732401,3.476646995447813,3.2472603232353525,6.927466920395129,1.591183001805092,6.9500998943861285,1.6456761633640609
good_redis_scenario_stdev_2.8867513459481287.csv,4.672827746792303,3.6194024493475188,5.284875742887405,3.7912558327714234,3.9029462378923707,3.5609205655865743,3.929067353692516,3.594462234972721
good_redis_scenario_stdev_8.082903768654761.csv,3.363369221328145,3.654059735065806,3.911953374547164,3.5621723204933784,1.768028336131617,2.9004372400285674,1.7656634121091932,2.86960760113922
good_redis_scenario_stdev_2.516611478423583.csv,4.980744418845198,3.817361343193864,5.557622626330726,3.7573483533211474,4.355791672675955,3.644084795381063,4.367410572617598,3.634336530677767
good_redis_scenario_stdev_8.962886439832502.csv,2.325299886796767,3.084930785416852,2.9334864778345406,3.2103285797982153,1.4239370566012022,2.607427450207037,1.4381725829490433,2.615438388070146
bad_redis_scenario_stdev_1.1547005383792515.csv,4.052574633243518,2.98833891289735,4.6076754126875015,2.915280714791265,5.327323988229243,3.3033591688195347,5.3150456247511375,3.27277642243314
good_redis_scenario_stdev_6.350852961085883.csv,3.557852265698376,3.794672651121873,4.12716540878068,3.6463574214273233,2.5137747342061196,3.2959264782844566,2.530325632793226,3.300278094286329
